School,Nickname,City,State,Conference
Adrian College,Bulldogs,Adrian,Michigan,Michigan Intercollegiate Athletic Association
Agnes Scott College,Scotties,Decatur,Georgia,Collegiate Conference of the South
Albertus Magnus College,Falcons,New Haven,Connecticut,Great Northeast Athletic Conference
Albion College,Britons,Albion,Michigan,Michigan Intercollegiate Athletic Association
Albright College,Lions,Reading,Pennsylvania,MAC Commonwealth
Alfred University,Saxons,Alfred,New York,Empire 8
Alfred State College,Pioneers,Alfred,New York,Allegheny Mountain Collegiate Conference
Allegheny College,Gators,Meadville,Pennsylvania,Presidents' Athletic Conference
Alma College,Scots,Alma,Michigan,Michigan Intercollegiate Athletic Association
Alvernia University,Golden Wolves,Reading,Pennsylvania,MAC Commonwealth
Alverno College,Inferno,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference
Amherst College,Mammoths,Amherst,Massachusetts,New England Small College Athletic Conference
Anderson University,Ravens and Lady Ravens,Anderson,Indiana,Heartland Collegiate Athletic Conference
Anna Maria College,Amcats,Paxton,Massachusetts,Great Northeast Athletic Conference
Arcadia University,Knights,Glenside,Pennsylvania,MAC Freedom
Asbury University,Eagles,Wilmore,Kentucky,Independent
Augsburg University,Auggies,Minneapolis,Minnesota,Minnesota Intercollegiate Athletic Conference
Augustana College,Vikings,Rock Island,Illinois,College Conference of Illinois and Wisconsin
Aurora University,Spartans,Aurora,Illinois,Northern Athletics Collegiate Conference
Austin College,Kangaroos,Sherman,Texas,Southern Collegiate Athletic Conference
Averett University,Cougars,Danville,Virginia,Old Dominion Athletic Conference
Babson College,Beavers,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference
Baldwin Wallace University,Yellow Jackets,Berea,Ohio,Ohio Athletic Conference
Bard College,Raptors,Annandale-on-Hudson,New York,Liberty League
Baruch College,Bearcats,New York,New York,City University of New York Athletic Conference
Bates College,Bobcats,Lewiston,Maine,New England Small College Athletic Conference
Belhaven University,Blazers,Jackson,Mississippi,Collegiate Conference of the South
Beloit College,Buccaneers,Beloit,Wisconsin,Midwest Conference
Benedictine University,Eagles,Lisle,Illinois,Northern Athletics Collegiate Conference
Berea College,Mountaineers,Berea,Kentucky,Collegiate Conference of the South
Berry College,Vikings,Mount Berry,Georgia,Southern Athletic Association
Bethany College,Bison,Bethany,West Virginia,Presidents' Athletic Conference
Bethany Lutheran College,Vikings,Mankato,Minnesota,Upper Midwest Athletic Conference
Bethel University,Royals,Arden Hills,Minnesota,Minnesota Intercollegiate Athletic Conference
Birmingham–Southern College,Panthers,Birmingham,Alabama,Southern Athletic Association
Blackburn College,Beavers,Carlinville,Illinois,St. Louis Intercollegiate Athletic Conference
Bluffton University,Beavers,Bluffton,Ohio,Heartland Collegiate Athletic Conference
Bob Jones University,Bruins,Greenville,South Carolina,Independent
Bowdoin College,Polar Bears,Brunswick,Maine,New England Small College Athletic Conference
Brandeis University,Judges,Waltham,Massachusetts,University Athletic Association
Brevard College,Tornados,Brevard,North Carolina,USA South Athletic Conference
Bridgewater College,Eagles,Bridgewater,Virginia,Old Dominion Athletic Conference
Bridgewater State University,Bears,Bridgewater,Massachusetts,Massachusetts State Collegiate Athletic Conference
Brooklyn College,Bulldogs,Brooklyn,New York,City University of New York Athletic Conference
Bryn Athyn College,Lions,Bryn Athyn,Pennsylvania,Colonial States Athletic Conference
Bryn Mawr College,Owls,Bryn Mawr,Pennsylvania,Centennial Conference
Buena Vista University,Beavers,Storm Lake,Iowa,American Rivers Conference
Buffalo State College,Bengals,Buffalo,New York,State University of New York Athletic Conference
Cabrini University,Cavaliers,Radnor,Pennsylvania,Atlantic East Conference
Cairn University,Highlanders,Langhorne,Pennsylvania,Colonial States Athletic Conference
California Institute of Technology (Caltech),Beavers,Pasadena,California,Southern California Intercollegiate Athletic Conference
California Lutheran University (Cal Lutheran),Kingsmen and Regals,Thousand Oaks,California,Southern California Intercollegiate Athletic Conference
"University of California, Santa Cruz (UC Santa Cruz)",Banana Slugs,Santa Cruz,California,Coast to Coast Athletic Conference
Calvin University,Knights,Grand Rapids,Michigan,Michigan Intercollegiate Athletic Association
Capital University,Crusaders,Bexley,Ohio,Ohio Athletic Conference
Carleton College,Knights,Northfield,Minnesota,Minnesota Intercollegiate Athletic Conference
Carnegie Mellon University,Tartans,Pittsburgh,Pennsylvania,University Athletic Association
Carroll University,Pioneers,Waukesha,Wisconsin,College Conference of Illinois and Wisconsin
Carthage College,Firebirds,Kenosha,Wisconsin,College Conference of Illinois and Wisconsin
Case Western Reserve University,Spartans,Cleveland,Ohio,University Athletic Association
Castleton University,Spartans,Castleton,Vermont,Little East Conference
Catholic University of America,Cardinals,Washington,District of Columbia,Landmark Conference
Cazenovia College,Wildcats,Cazenovia,New York,North Atlantic Conference
Cedar Crest College,Falcons,Allentown,Pennsylvania,Colonial States Athletic Conference
Centenary College of Louisiana,Gents and Ladies,Shreveport,Louisiana,Southern Collegiate Athletic Conference
Centenary University,Cyclones,Hackettstown,New Jersey,Colonial States Athletic Conference
Central College,Dutch,Pella,Iowa,American Rivers Conference
Centre College,Colonels,Danville,Kentucky,Southern Athletic Association
Chapman University,Panthers,Orange,California,Southern California Intercollegiate Athletic Conference
Chatham University,Cougars,Pittsburgh,Pennsylvania,Presidents' Athletic Conference
University of Chicago,Maroons,Chicago,Illinois,University Athletic Association
Christopher Newport University,Captains,Newport News,Virginia,Coast to Coast Athletic Conference
