School,Nickname,City,State/Province,Conference,Note
Academy of Art University,Urban Knights,San Francisco,California,Pacific West Conference,
Adams State University,Grizzlies,Alamosa,Colorado,Rocky Mountain Athletic Conference,
Adelphi University,Panthers,Garden City,New York,Northeast-10 Conference,
University of Alabama in Huntsville,Chargers,Huntsville,Alabama,Gulf South Conference,
Alderson Broaddus University,Battlers,Philippi,West Virginia,Mountain East Conference,
Alliance University,Warriors,Manhattan,New York,Central Atlantic Collegiate Conference,
American International College,Yellow Jackets,Springfield,Massachusetts,Northeast-10 Conference,
Anderson University,Trojans,Anderson,South Carolina,South Atlantic Conference,
Ashland University,Eagles,Ashland,Ohio,Great Midwest Athletic Conference,
Assumption University,Greyhounds,Worcester,Massachusetts,Northeast-10 Conference,
Auburn University at Montgomery,Warhawks,Montgomery,Alabama,Gulf South Conference,
Azusa Pacific University,Cougars,Azusa,California,Pacific West Conference,
Barry University,Buccaneers,Miami Shores,Florida,Sunshine State Conference,
Barton College,Bulldogs,Wilson,North Carolina,Conference Carolinas,
Belmont Abbey College,Crusaders,Belmont,North Carolina,Conference Carolinas,
Bentley University,Falcons,Waltham,Massachusetts,Northeast-10 Conference,
Biola University,Eagles,La Mirada,California,Pacific West Conference,
Bloomfield College,Bears,Bloomfield,New Jersey,Central Atlantic Collegiate Conference,
Bloomsburg University of Pennsylvania,Huskies,Bloomsburg,Pennsylvania,Pennsylvania State Athletic Conference,
University of Bridgeport,Purple Knights,Bridgeport,Connecticut,Central Atlantic Collegiate Conference,
Caldwell University,Cougars,Caldwell,New Jersey,Central Atlantic Collegiate Conference,
"California State Polytechnic University, Humboldt (Cal Poly Humboldt)",Lumberjacks,Arcata,California,California Collegiate Athletic Association,
"California State Polytechnic University, Pomona (Cal Poly Pomona)",Broncos,Pomona,California,California Collegiate Athletic Association,
"California State University, Chico (Chico State)",Wildcats,Chico,California,California Collegiate Athletic Association,
"California State University, Dominguez Hills",Toros,Carson,California,California Collegiate Athletic Association,
"California State University, East Bay",Pioneers,Hayward,California,California Collegiate Athletic Association,
"California State University, Los Angeles",Golden Eagles,Los Angeles,California,California Collegiate Athletic Association,
"California State University, Monterey Bay",Otters,Seaside,California,California Collegiate Athletic Association,
"California State University, San Bernardino",Coyotes,San Bernardino,California,California Collegiate Athletic Association,
California State University San Marcos,Cougars,San Marcos,California,California Collegiate Athletic Association,
"California State University, Stanislaus",Warriors,Turlock,California,California Collegiate Athletic Association,
Carson–Newman University,Eagles,Jefferson City,Tennessee,South Atlantic Conference,
Catawba College,Indians,Salisbury,North Carolina,South Atlantic Conference,
Cedarville University,Yellow Jackets,Cedarville,Ohio,Great Midwest Athletic Conference,
Chaminade University of Honolulu,Silverswords,Honolulu,Hawai'i,Pacific West Conference,
University of Charleston,Golden Eagles,Charleston,West Virginia,Mountain East Conference,
Chestnut Hill College,Griffins,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,
