School,City,State,Conference,Division,WikidataID,Score,School_doe,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,Score_doe
"University at Albany, SUNY",Albany,New York,America East Conference,D1,Q1780816,100.0,Albany Medical College,288700.0,,,,-73.777289,42.65382,100.0
"University at Albany, SUNY",Albany,New York,America East Conference,D1,Q1780816,100.0,SUNY at Albany,283500.0,0.5715,1177.0,26563.0,-73.824662,42.685489,88.0
Binghamton University,Binghamton,New York,America East Conference,D1,Q863813,100.0,Binghamton University,283600.0,0.4303,1376.0,28010.0,-75.966889,42.087868,100.0
Bryant University,Smithfield,Rhode Island,America East Conference,D1,Q1012699,100.0,Bryant University,340200.0,0.7579,1211.0,62855.0,-71.539547,41.920092,100.0
University of New Hampshire,Durham,New Hampshire,America East Conference,D1,Q49207,100.0,,,,,,,,
New Jersey Institute of Technology,Newark,New Jersey,America East Conference,D1,Q3272013,100.0,New Jersey Institute of Technology,262100.0,0.6603,1299.0,31511.0,-74.177113,40.741997,100.0
University of Massachusetts Lowell,Lowell,Massachusetts,America East Conference,D1,Q15143,100.0,University of Massachusetts-Lowell,216100.0,0.752,1232.0,29174.0,-71.326809,42.652864,100.0
"University of Maryland, Baltimore County",Baltimore County,Maryland,America East Conference,D1,Q503415,100.0,University of Maryland-Baltimore County,210500.0,0.6948,1255.0,25997.0,-76.711607,39.256686,100.0
"University of Maryland, Baltimore County",Baltimore County,Maryland,America East Conference,D1,Q503415,100.0,University of Maryland-College Park,210300.0,0.5096,1391.0,27343.0,-76.944721,38.988178,100.0
University of Vermont,Burlington,Vermont,America East Conference,D1,Q1048898,100.0,University of Vermont,369600.0,0.7132,1276.0,34707.0,-73.196646,44.477325,100.0
University of North Carolina at Charlotte,Charlotte,North Carolina,American Athletic Conference,D1,Q1783178,100.0,University of North Carolina at Charlotte,297500.0,0.7953,1200.0,23478.0,-80.730919,35.306022,100.0
