School,City,State,Conference,Division,StateCode,DOESchool,DOECity,DOEStateCode,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,Lev
Binghamton University,Binghamton,New York,America East Conference,D1,NY,Binghamton University,Vestal,NY,00283600,0.4303,1376.0,28010.0,-75.966889,42.087868,0
Bryant University,Smithfield,Rhode Island,America East Conference,D1,RI,Bryant University,Smithfield,RI,00340200,0.7579,1211.0,62855.0,-71.539547,41.920092,0
University of New Hampshire,Durham,New Hampshire,America East Conference,D1,NH,University of New Hampshire-Main Campus,Durham,NH,00258900,0.8481,1194.0,33940.0,-70.932465,43.135934,0
New Jersey Institute of Technology,Newark,New Jersey,America East Conference,D1,NJ,New Jersey Institute of Technology,Newark,NJ,00262100,0.6603,1299.0,31511.0,-74.177113,40.741997,0
University of Massachusetts Lowell,Lowell,Massachusetts,America East Conference,D1,MA,University of Massachusetts-Lowell,Lowell,MA,00216100,0.752,1232.0,29174.0,-71.326809,42.652864,0
"University of Maryland, Baltimore County",Catonsville,Maryland,America East Conference,D1,MD,University of Maryland-Baltimore County,Baltimore,MD,00210500,0.6948,1255.0,25997.0,-76.711607,39.256686,0
University of Vermont,Burlington,Vermont,America East Conference,D1,VT,University of Vermont,Burlington,VT,00369600,0.7132,1276.0,34707.0,-73.196646,44.477325,0
University of North Carolina at Charlotte,Charlotte,North Carolina,American Athletic Conference,D1,NC,University of North Carolina at Charlotte,Charlotte,NC,00297500,0.7953,1200.0,23478.0,-80.730919,35.306022,0
Florida Atlantic University,Boca Raton,Florida,American Athletic Conference,D1,FL,Florida Atlantic University,Boca Raton,FL,00148100,0.7478,1147.0,21761.0,-80.102978,26.372421,0
Florida International University,University Park,Florida,American Athletic Conference,D1,FL,Florida International University,Miami,FL,00963500,0.5788,1190.0,19384.0,-80.373928,25.75732,0
University of Memphis,Memphis,Tennessee,American Athletic Conference,D1,TN,University of Memphis,Memphis,TN,00350900,0.852,1132.0,24139.0,-89.938068,35.118878,0
Southern Methodist University,Dallas,Texas,American Athletic Conference,D1,TX,Southern Methodist University,Dallas,TX,00361300,0.5267,1388.0,76346.0,-96.783365,32.843612,0
University of South Florida,Tampa,Florida,American Athletic Conference,D1,FL,University of South Florida,Tampa,FL,00153700,0.4924,1256.0,21134.0,-82.413232,28.061458,0
Temple University,Philadelphia,Pennsylvania,American Athletic Conference,D1,PA,Temple University,Philadelphia,PA,00337100,0.7142,,33226.0,-75.156859,39.980546,0
University of Tulsa,Tulsa,Oklahoma,American Athletic Conference,D1,OK,University of Tulsa,Tulsa,OK,00318500,0.6922,1255.0,58637.0,-95.945941,36.152324,0
University of Alabama at Birmingham,Birmingham,Alabama,American Athletic Conference,D1,AL,University of Alabama at Birmingham,Birmingham,AL,00105200,0.806,1245.0,25542.0,-86.799345,33.505697,0
University of Central Florida,Orlando,Florida,Sun Belt Conference,D1,FL,University of Central Florida,Orlando,FL,00395400,0.4517,1261.0,21309.0,-81.200889,28.602159,0
Bellarmine University,Louisville,Kentucky,ASUN Conference,D1,KY,Bellarmine University,Louisville,KY,00195400,0.8237,1196.0,56319.0,-85.704997,38.219279,0
University of Central Arkansas,Conway,Arkansas,ASUN Conference,D1,AR,University of Central Arkansas,Conway,AR,00109200,0.9378,1166.0,23185.0,-92.457672,35.077945,0
Florida Gulf Coast University,Fort Myers,Florida,ASUN Conference,D1,FL,Florida Gulf Coast University,Fort Myers,FL,03255300,0.7749,1142.0,18151.0,-81.7726,26.463638,0
Jacksonville University,Jacksonville,Florida,ASUN Conference,D1,FL,Jacksonville University,Jacksonville,FL,00149500,0.7774,1115.0,54991.0,-81.60458,30.353227,0
Liberty University,Lynchburg,Virginia,Possibly ASUN Conference,D1,VA,Liberty University,Lynchburg,VA,02053000,0.5013,1172.0,40567.0,-79.18222,37.350232,0
Lipscomb University,Nashville,Tennessee,ASUN Conference,D1,TN,Lipscomb University,Nashville,TN,00348600,0.615,1226.0,49074.0,-86.799791,36.106253,0
University of North Florida,Jacksonville,Florida,ASUN Conference,D1,FL,North Florida College,Madison,FL,00150800,,,9001.0,-83.420732,30.473841,0
Stetson University,DeLand,Florida,ASUN Conference,D1,FL,Stetson University,DeLand,FL,00153100,0.8149,,63006.0,-81.300746,29.035475,0
Davidson College,Davidson,North Carolina,Atlantic 10 Conference,D1,NC,Davidson College,Davidson,NC,00291800,0.2,1402.0,70744.0,-80.843979,35.499767,0
University of Dayton,Dayton,Ohio,Atlantic 10 Conference,D1,OH,University of Dayton,Dayton,OH,00312700,0.8111,1233.0,60900.0,-84.176113,39.739547,0
Duquesne University,Pittsburgh,Pennsylvania,Atlantic 10 Conference,D1,PA,Duquesne University,Pittsburgh,PA,00325800,0.7719,1207.0,56199.0,-79.993123,40.43589,0
Fordham University,"The Bronx, New York City",New York,Atlantic 10 Conference,D1,NY,Fordham University,Bronx,NY,00272200,0.5253,1334.0,71388.0,-73.882705,40.859354,0
George Mason University,Fairfax,Virginia,Atlantic 10 Conference,D1,VA,George Mason University,Fairfax,VA,00374900,0.892,1208.0,25717.0,-77.307428,38.829976,0
George Washington University,Washington,District of Columbia,Atlantic 10 Conference,D1,DC,George Washington University,Washington,DC,00144400,0.4304,1385.0,74023.0,-77.048363,38.89923,0
La Salle University,Philadelphia,Pennsylvania,Atlantic 10 Conference,D1,PA,La Salle University,Philadelphia,PA,00328700,0.7635,,45298.0,-75.153061,40.037979,0
Loyola University Chicago,Chicago,Illinois,Atlantic 10 Conference,D1,IL,Loyola University Chicago,Chicago,IL,00171000,0.7054,1261.0,60717.0,-87.656872,42.000765,0
University of Massachusetts Amherst,Amherst,Massachusetts,Atlantic 10 Conference,D1,MA,University of Massachusetts-Amherst,Amherst,MA,00222100,0.6532,1307.0,31749.0,-72.526728,42.385999,0
