School,City,State,Conference,Division,StateCode
"University at Albany, SUNY",Albany,New York,America East Conference,D1,NY
Binghamton University,Binghamton,New York,America East Conference,D1,NY
Bryant University,Smithfield,Rhode Island,America East Conference,D1,RI
University of New Hampshire,Durham,New Hampshire,America East Conference,D1,NH
New Jersey Institute of Technology,Newark,New Jersey,America East Conference,D1,NJ
University of Massachusetts Lowell,Lowell,Massachusetts,America East Conference,D1,MA
"University of Maryland, Baltimore County",Catonsville,Maryland,America East Conference,D1,MD
University of Vermont,Burlington,Vermont,America East Conference,D1,VT
University of North Carolina at Charlotte,Charlotte,North Carolina,American Athletic Conference,D1,NC
Florida Atlantic University,Boca Raton,Florida,American Athletic Conference,D1,FL
Florida International University,University Park,Florida,American Athletic Conference,D1,FL
University of Memphis,Memphis,Tennessee,American Athletic Conference,D1,TN
Southern Methodist University,Dallas,Texas,American Athletic Conference,D1,TX
University of South Florida,Tampa,Florida,American Athletic Conference,D1,FL
Temple University,Philadelphia,Pennsylvania,American Athletic Conference,D1,PA
University of Tulsa,Tulsa,Oklahoma,American Athletic Conference,D1,OK
University of Alabama at Birmingham,Birmingham,Alabama,American Athletic Conference,D1,AL
University of Central Florida,Orlando,Florida,Sun Belt Conference,D1,FL
Bellarmine University,Louisville,Kentucky,ASUN Conference,D1,KY
University of Central Arkansas,Conway,Arkansas,ASUN Conference,D1,AR
Florida Gulf Coast University,Fort Myers,Florida,ASUN Conference,D1,FL
Jacksonville University,Jacksonville,Florida,ASUN Conference,D1,FL
Liberty University,Lynchburg,Virginia,Possibly ASUN Conference,D1,VA
Lipscomb University,Nashville,Tennessee,ASUN Conference,D1,TN
University of North Florida,Jacksonville,Florida,ASUN Conference,D1,FL
Queens University of Charlotte [Queens],Charlotte,North Carolina,ASUN Conference,D1,NC
Stetson University,DeLand,Florida,ASUN Conference,D1,FL
Davidson College,Davidson,North Carolina,Atlantic 10 Conference,D1,NC
University of Dayton,Dayton,Ohio,Atlantic 10 Conference,D1,OH
Duquesne University,Pittsburgh,Pennsylvania,Atlantic 10 Conference,D1,PA
Fordham University,"The Bronx, New York City",New York,Atlantic 10 Conference,D1,NY
George Mason University,Fairfax,Virginia,Atlantic 10 Conference,D1,VA
George Washington University,Washington,District of Columbia,Atlantic 10 Conference,D1,DC
La Salle University,Philadelphia,Pennsylvania,Atlantic 10 Conference,D1,PA
Loyola University Chicago,Chicago,Illinois,Atlantic 10 Conference,D1,IL
University of Massachusetts Amherst,Amherst,Massachusetts,Atlantic 10 Conference,D1,MA
University of Rhode Island,Kingston,Rhode Island,Atlantic 10 Conference,D1,RI
St. Bonaventure University,Allegany,New York,Atlantic 10 Conference,D1,NY
Saint Joseph's University,Philadelphia,Pennsylvania,Atlantic 10 Conference,D1,PA
Saint Louis University,St. Louis,Missouri,Atlantic 10 Conference,D1,MO
Virginia Commonwealth University,Richmond,Virginia,Atlantic 10 Conference,D1,VA
Boston College,Chestnut Hill,Massachusetts,Atlantic Coast Conference,D1,MA
Clemson University,Clemson,South Carolina,Atlantic Coast Conference,D1,SC
Duke University,Durham,North Carolina,Atlantic Coast Conference,D1,NC
University of Louisville,Louisville,Kentucky,Atlantic Coast Conference,D1,KY
University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,Atlantic Coast Conference,D1,NC
North Carolina State University,Raleigh,North Carolina,Atlantic Coast Conference,D1,NC
University of Notre Dame,South Bend,Indiana,Atlantic Coast Conference,D1,IN
University of Pittsburgh,Pittsburgh,Pennsylvania,Atlantic Coast Conference,D1,PA
Syracuse University,Syracuse,New York,Atlantic Coast Conference,D1,NY
University of Virginia,Charlottesville,Virginia,Atlantic Coast Conference,D1,VA
Virginia Polytechnic Institute and State University,Blacksburg,Virginia,Atlantic Coast Conference,D1,VA
Wake Forest University,Winston-Salem,North Carolina,Atlantic Coast Conference,D1,NC
University of Akron,Akron,Ohio,Big East Conference,D1,OH
Butler University,Indianapolis,Indiana,Big East Conference,D1,IN
Creighton University,Omaha,Nebraska,Big East Conference,D1,NE
DePaul University,Chicago,Illinois,Big East Conference,D1,IL
Georgetown University,Washington,District of Columbia,Big East Conference,D1,DC
Marquette University,Milwaukee,Wisconsin,Big East Conference,D1,WI
Providence College,Providence,Rhode Island,Big East Conference,D1,RI
St. John's University,"Queens, New York City",New York,Big East Conference,D1,NY
Seton Hall University,South Orange,New Jersey,Big East Conference,D1,NJ
University of Connecticut,Storrs,Connecticut,Big East Conference,D1,CT
Villanova University,Radnor Township,Pennsylvania,Big East Conference,D1,PA
Xavier University,Cincinnati,Ohio,Big East Conference,D1,OH
Campbell University,Buies Creek,North Carolina,Colonial Athletic Association,D1,NC
Gardner–Webb University,Boiling Springs,North Carolina,Big South Conference,D1,NC
High Point University,High Point,North Carolina,Big South Conference,D1,NC
Longwood University,Farmville,Virginia,Big South Conference,D1,VA
Presbyterian College,Clinton,South Carolina,Big South Conference,D1,SC
Radford University,Radford,Virginia,Big South Conference,D1,VA
University of North Carolina at Asheville,Asheville,North Carolina,Big South Conference,D1,NC
University of South Carolina Upstate,Spartanburg,South Carolina,Big South Conference,D1,SC
Winthrop University,Rock Hill,South Carolina,Big South Conference,D1,SC
Indiana University Bloomington,Bloomington,Indiana,Big Ten Conference,D1,IN
"University of Maryland, College Park",College Park,Maryland,Big Ten Conference,D1,MD
University of Michigan,Ann Arbor,Michigan,Big Ten Conference,D1,MI
Michigan State University,East Lansing,Michigan,Big Ten Conference,D1,MI
Northwestern University,Evanston,Illinois,Big Ten Conference,D1,IL
Ohio State University,Columbus,Ohio,Big Ten Conference,D1,OH
Pennsylvania State University,State College,Pennsylvania,Big Ten Conference,D1,PA
Rutgers University–New Brunswick,New Brunswick,New Jersey,Big Ten Conference,D1,NJ
University of Wisconsin–Madison,Madison,Wisconsin,Big Ten Conference,D1,WI
California Polytechnic State University,San Luis Obispo,California,Big West Conference,D1,CA
"California State University, Bakersfield",Bakersfield,California,Big West Conference,D1,CA
"California State University, Fullerton",Fullerton,California,Big West Conference,D1,CA
"California State University, Northridge","Northridge, Los Angeles",California,Big West Conference,D1,CA
"California State University, Sacramento",Sacramento,California,Big West Conference,D1,CA
"University of California, Davis",Davis,California,Big West Conference,D1,CA
"University of California, Irvine",Irvine,California,Big West Conference,D1,CA
"University of California, Riverside",Riverside,California,Big West Conference,D1,CA
"University of California, San Diego","La Jolla, San Diego",California,Big West Conference,D1,CA
"University of California, Santa Barbara",Santa Barbara,California,Big West Conference,D1,CA
College of Charleston,Charleston,South Carolina,Colonial Athletic Association,D1,SC
University of Delaware,Newark,Delaware,Colonial Athletic Association,D1,DE
Drexel University,Philadelphia,Pennsylvania,Colonial Athletic Association,D1,PA
Elon University,Elon,North Carolina,Colonial Athletic Association,D1,NC
Hofstra University,Hempstead,New York,Colonial Athletic Association,D1,NY
Monmouth University,West Long Branch,New Jersey,Colonial Athletic Association,D1,NJ
Northeastern University,Boston,Massachusetts,Colonial Athletic Association,D1,MA
Stony Brook University,Stony Brook,New York,Colonial Athletic Association,D1,NY
University of North Carolina Wilmington,Wilmington,North Carolina,Colonial Athletic Association,D1,NC
College of William & Mary,Williamsburg,Virginia,Colonial Athletic Association,D1,VA
Cleveland State University,Cleveland,Ohio,Horizon League,D1,OH
University of Detroit Mercy,Detroit,Michigan,Horizon League,D1,MI
University of Wisconsin–Green Bay,Green Bay,Wisconsin,Horizon League,D1,WI
Indiana University – Purdue University Indianapolis,Indianapolis,Indiana,Horizon League,D1,IN
University of Wisconsin–Milwaukee,Milwaukee,Wisconsin,Horizon League,D1,WI
Northern Kentucky University,Highland Heights,Kentucky,Horizon League,D1,KY
Oakland University,Auburn Hills & Rochester Hills,Michigan,Horizon League,D1,MI
Purdue University Fort Wayne,Fort Wayne,Indiana,Horizon League,D1,IN
Robert Morris University,Moon Township,Pennsylvania,Horizon League,D1,PA
Wright State University,Fairborn,Ohio,Horizon League,D1,OH
Chicago State University,Chicago,Illinois,Independent,D1,IL
University of the Incarnate Word,San Antonio & Alamo Heights,Texas,Independent,D1,TX
Brown University,Providence,Rhode Island,Ivy League,D1,RI
Columbia University,New York City,New York,Ivy League,D1,NY
Cornell University,Ithaca,New York,Ivy League,D1,NY
Dartmouth College,Hanover,New Hampshire,Ivy League,D1,NH
Harvard University,Boston,Massachusetts,Ivy League,D1,MA
Princeton University,Princeton,New Jersey,Ivy League,D1,NJ
University of Pennsylvania,Philadelphia,Pennsylvania,Ivy League,D1,PA
Yale University,New Haven,Connecticut,Ivy League,D1,CT
Canisius College,Buffalo,New York,Metro Atlantic Athletic Conference,D1,NY
Fairfield University,Fairfield,Connecticut,Metro Atlantic Athletic Conference,D1,CT
Iona University,New Rochelle,New York,Metro Atlantic Athletic Conference,D1,NY
Manhattan College,"The Bronx, New York City",New York,Metro Atlantic Athletic Conference,D1,NY
Marist College,Poughkeepsie,New York,Metro Atlantic Athletic Conference,D1,NY
Mount St. Mary's University,Emmitsburg,Maryland,Metro Atlantic Athletic Conference,D1,MD
Niagara University,Lewiston,New York,Metro Atlantic Athletic Conference,D1,NY
Quinnipiac University,Hamden,Connecticut,Metro Atlantic Athletic Conference,D1,CT
Rider University,Lawrenceville,New Jersey,Metro Atlantic Athletic Conference,D1,NJ
Saint Peter's University,Jersey City,New Jersey,Metro Atlantic Athletic Conference,D1,NJ
Siena College,Loudonville,New York,Metro Atlantic Athletic Conference,D1,NY
Belmont University,Nashville,Tennessee,Missouri Valley Conference,D1,TN
Bowling Green State University,Bowling Green,Ohio,Missouri Valley Conference,D1,OH
Bradley University,Peoria,Illinois,Missouri Valley Conference,D1,IL
Drake University,Des Moines,Iowa,Missouri Valley Conference,D1,IA
University of Evansville,Evansville,Indiana,Missouri Valley Conference,D1,IN
