School,City,StateCode,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude
Alabama A & M University,Normal,AL,100200.0,0.8965,959.0,23445.0,-86.568502,34.783368
University of Alabama at Birmingham,Birmingham,AL,105200.0,0.806,1245.0,25542.0,-86.799345,33.505697
Amridge University,Montgomery,AL,2503400.0,,,20100.0,-86.17401,32.362609
University of Alabama in Huntsville,Huntsville,AL,105500.0,0.7711,1300.0,24861.0,-86.640449,34.724557
Alabama State University,Montgomery,AL,100500.0,0.9888,938.0,21892.0,-86.295677,32.364317
The University of Alabama,Tuscaloosa,AL,105100.0,0.8039,1262.0,30016.0,-87.545978,33.211875
Central Alabama Community College,Alexander City,AL,100700.0,,,9437.0,-85.945266,32.92478
Athens State University,Athens,AL,100800.0,,,,-86.964698,34.806793
Auburn University at Montgomery,Montgomery,AL,831000.0,0.9555,1061.0,20225.0,-86.177544,32.36736
Auburn University,Auburn,AL,100900.0,0.8507,1302.0,32196.0,-85.488258,32.599378
Birmingham-Southern College,Birmingham,AL,101200.0,0.6045,1202.0,32514.0,-86.850552,33.513774
Chattahoochee Valley Community College,Phenix City,AL,1218200.0,,,10275.0,-85.031485,32.42391
South University-Montgomery,Montgomery,AL,1303906.0,,,28761.0,-86.216488,32.342684
Enterprise State Community College,Enterprise,AL,101500.0,,,9561.0,-85.836956,31.297496
Coastal Alabama Community College,Bay Minette,AL,106000.0,,,14915.0,-87.778193,30.851343
Faulkner University,Montgomery,AL,100300.0,0.7576,1068.0,34835.0,-86.21641,32.384181
Gadsden State Community College,Gadsden,AL,101700.0,,,10527.0,-85.991438,33.994001
New Beginning College of Cosmetology,Albertville,AL,4187200.0,,,,-86.196931,34.27871
George C Wallace Community College-Dothan,Dothan,AL,101800.0,,,9990.0,-85.465836,31.315274
George C Wallace State Community College-Hanceville,Hanceville,AL,787100.0,,,12537.0,-86.781935,34.072439
George C Wallace State Community College-Selma,Selma,AL,569900.0,,,11154.0,-87.013294,32.445917
Herzing University-Birmingham,Birmingham,AL,962107.0,0.9201,,30319.0,-86.832465,33.468466
Huntingdon College,Montgomery,AL,101900.0,0.5439,1101.0,37483.0,-86.284366,32.351034
Heritage Christian University,Florence,AL,2199700.0,0.6667,,,-87.663051,34.856153
J. F. Drake State Community and Technical College,Huntsville,AL,526000.0,,,12015.0,-86.572885,34.771858
J F Ingram State Technical College,Deatsville,AL,3002500.0,,,6012.0,-86.392369,32.582312
Jacksonville State University,Jacksonville,AL,102000.0,0.6369,1084.0,21560.0,-85.765321,33.822938
Jefferson State Community College,Birmingham,AL,102200.0,,,14127.0,-86.707233,33.652535
John C Calhoun State Community College,Tanner,AL,101300.0,,,11128.0,-86.949674,34.645844
Judson College,Marion,AL,102300.0,0.5648,1068.0,32380.0,-87.315206,32.629253
