School,City,State,Conference,Division,StateCode
"University at Albany, SUNY",Albany,New York,America East Conference,D1,NY
Queens University of Charlotte [Queens],Charlotte,North Carolina,ASUN Conference,D1,NC
North Carolina State University,Raleigh,North Carolina,Atlantic Coast Conference,D1,NC
University of Pittsburgh,Pittsburgh,Pennsylvania,Atlantic Coast Conference,D1,PA
St. John's University,"Queens, New York City",New York,Big East Conference,D1,NY
University of Michigan,Ann Arbor,Michigan,Big Ten Conference,D1,MI
California Polytechnic State University,San Luis Obispo,California,Big West Conference,D1,CA
Columbia University,New York City,New York,Ivy League,D1,NY
Missouri State University,Springfield,Missouri,Missouri Valley Conference,D1,MO
Fairleigh Dickinson University,Madison & Florham Park,New Jersey,Northeast Conference,D1,NJ
University of Washington,Seattle,Washington,Pac-12 Conference,D1,WA
University of South Carolina,Columbia,South Carolina,Sun Belt Conference,D1,SC
Houston Christian University,Houston,Texas,Western Athletic Conference,D1,TX
Utah Tech University,St. George,Utah,Western Athletic Conference,D1,UT
Alliance University,Manhattan,New York,Central Atlantic Collegiate Conference,D2,NY
Chaminade University of Honolulu,Honolulu,Hawai'i,Pacific West Conference,D2,
Dominican University New York,Orangeburg,New York,Central Atlantic Collegiate Conference,D2,NY
Embry–Riddle Aeronautical University,Daytona Beach,Florida,Sunshine State Conference,D2,FL
Emory and Henry College,Emory,Virginia,South Atlantic Conference,D2,VA
Hawai'i Pacific University,Honolulu,Hawai'i,Pacific West Conference,D2,
University of Hawai'i at Hilo,Hilo,Hawai'i,Pacific West Conference,D2,
Lock Haven University of Pennsylvania,Lock Haven,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Maryville University,St. Louis,Missouri,Great Lakes Valley Conference,D2,MO
Pennsylvania Western University California,California,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Queens College,Flushing,New York,East Coast Conference,D2,NY
St. Cloud State University,St. Cloud,Minnesota,Northern Sun Intercollegiate Conference,D2,MN
Simon Fraser University,Burnaby,British Columbia,Great Northwest Athletic Conference,D2,
College of Staten Island,Staten Island,New York,East Coast Conference,D2,NY
West Chester University,West Chester,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Alfred State College,Alfred,New York,Allegheny Mountain Collegiate Conference,D3,NY
Baruch College,New York,New York,City University of New York Athletic Conference,D3,NY
Brooklyn College,Brooklyn,New York,City University of New York Athletic Conference,D3,NY
Bryn Athyn College,Bryn Athyn,Pennsylvania,Colonial States Athletic Conference,D3,PA
Buffalo State College,Buffalo,New York,State University of New York Athletic Conference,D3,NY
Cairn University,Langhorne,Pennsylvania,Colonial States Athletic Conference,D3,PA
City College of New York,New York,New York,City University of New York Athletic Conference,D3,NY
"Claremont McKenna College, Harvey Mudd College, and Scripps College",Claremont,California,Southern California Intercollegiate Athletic Conference,D3,CA
Concordia College,Moorhead,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
Elms College,Chicopee,Massachusetts,Great Northeast Athletic Conference,D3,MA
Franklin & Marshall College,Lancaster,Pennsylvania,Centennial Conference,D3,PA
Hobart College,Geneva,New York,Liberty League,D3,NY
Hunter College,New York,New York,City University of New York Athletic Conference,D3,NY
John Jay College of Criminal Justice,New York,New York,City University of New York Athletic Conference,D3,NY
Johnson & Wales University,Providence,Rhode Island,Great Northeast Athletic Conference(Commonwealth Coast Conference in 2024),D3,RI
Lehman College,The Bronx,New York,City University of New York Athletic Conference,D3,NY
Linfield University,McMinnville,Oregon,Northwest Conference,D3,OR
Medgar Evers College,Brooklyn,New York,City University of New York Athletic Conference,D3,NY
Mount St. Joseph University,Cincinnati,Ohio,Heartland Collegiate Athletic Conference,D3,OH
State University of New York at Canton,Canton,New York,North Atlantic Conference,D3,NY
State University of New York at Cobleskill,Cobleskill,New York,North Atlantic Conference,D3,NY
State University of New York at Delhi,Delhi,New York,North Atlantic Conference,D3,NY
Northern Vermont University–Johnson,Johnson,Vermont,North Atlantic Conference,D3,VT
"Pennsylvania State University, Abington",Abington,Pennsylvania,United East Conference,D3,PA
"Pennsylvania State University, Altoona",Altoona,Pennsylvania,Allegheny Mountain Collegiate Conference,D3,PA
"Pennsylvania State University, Berks College",Reading,Pennsylvania,United East Conference,D3,PA
"Pennsylvania State University, Behrend",Erie,Pennsylvania,Allegheny Mountain Collegiate Conference,D3,PA
"Pennsylvania State University, Harrisburg",Harrisburg,Pennsylvania,United East Conference,D3,PA
Pomona College and Pitzer College,Claremont,California,Southern California Intercollegiate Athletic Conference,D3,CA
Pratt Institute,Brooklyn,New York,Coast to Coast Athletic Conference,D3,NY
Ramapo College,Mahwah,New Jersey,New Jersey Athletic Conference,D3,NJ
St. John Fisher College,Pittsford,New York,Empire 8,D3,NY
St. Joseph's College,Brooklyn,New York,Skyline Conference,D3,NY
St. Joseph's College,Long Island,New York,Skyline Conference,D3,NY
St. Norbert College,De Pere,Wisconsin,Northern Athletics Collegiate Conference,D3,WI
The College of St. Scholastica,Duluth,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
Wheaton College,Norton,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA
William Paterson University,Wayne,New Jersey,New Jersey Athletic Conference,D3,NJ
William Smith College,Geneva,New York,Liberty League,D3,NY
"York College, City University of New York",Queens,New York,City University of New York Athletic Conference,D3,NY
