School,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,WikidataID,Score
Amridge University,2503400.0,,,20100.0,-86.17401,32.362609,,
Athens State University,100800.0,,,,-86.964698,34.806793,,
South University-Montgomery,1303906.0,,,28761.0,-86.216488,32.342684,,
New Beginning College of Cosmetology,4187200.0,,,,-86.196931,34.27871,,
George C Wallace State Community College-Selma,569900.0,,,11154.0,-87.013294,32.445917,,
Herzing University-Birmingham,962107.0,0.9201,,30319.0,-86.832465,33.468466,,
J F Ingram State Technical College,3002500.0,,,6012.0,-86.392369,32.582312,,
John C Calhoun State Community College,101300.0,,,11128.0,-86.949674,34.645844,,
Reid State Technical College,569200.0,,,9152.0,-86.964797,31.460265,,
Snead State Community College,103800.0,,,11531.0,-86.169897,34.201495,,
Alaska Vocational Technical Center,3160300.0,,,,-149.444487,60.110626,,
Alaska Career College,2541000.0,,,,-149.856954,61.181443,,
Empire Beauty School-Tucson,966403.0,,,,-110.927187,32.235657,,
Carrington College-Phoenix North,2100600.0,,,,-112.104601,33.565758,,
Carrington College-Mesa,2100611.0,,,,-111.853218,33.39248,,
Carrington College-Tucson,2100607.0,,,,-110.983056,32.224391,,
Arizona Academy of Beauty,886400.0,,,,-110.872305,32.237253,,
Miller-Motte College-Arizona Automotive Institute,2306807.0,,,,-112.157344,33.537249,,
Arizona State University Campus Immersion,108100.0,0.8688,1207.0,27056.0,-111.934383,33.417721,,
Charles of Italy Beauty College,2280500.0,,,,-114.332686,34.477485,,
Cochise County Community College District,107200.0,,,11353.0,-110.246946,31.564597,,
Empire Beauty School-Chandler,1054208.0,,,,-111.860423,33.347586,,
Avalon Institute-Mesa,1085800.0,,,,-111.858305,33.376583,,
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2100500.0,,,,-112.121336,33.684428,,
Ottawa University-Phoenix,193701.0,0.5389,1017.0,,-112.113001,33.572173,,
Pima Medical Institute-Tucson,2217100.0,,,,-110.878783,32.248067,,
Refrigeration School Inc,1168900.0,,,,-111.989357,33.448692,,
Roberto-Venn School of Luthiery,2113800.0,,,,-112.086161,33.45489,,
Universal Technical Institute of Arizona Inc,822100.0,,,,-112.288123,33.453005,,
Empire Beauty School-NW Phoenix,945915.0,,,,-112.118168,33.538093,,
Arkansas Beauty School-Little Rock,3005100.0,,,,-92.343366,34.672171,,
Arkansas Beauty College,3997300.0,,,,-93.135369,35.27902,,
Arthur's Beauty College,2363502.0,,,,-94.410967,35.379955,,
Arkansas State University-Beebe,109100.0,,,14710.0,-91.895351,35.074176,,
Arthur's Beauty College,2538503.0,,,,-92.102579,34.891572,,
Baptist Health College Little Rock,3105200.0,0.5,1050.0,24470.0,-92.40692,34.713115,,
Central Baptist College,109300.0,0.4981,1041.0,26390.0,-92.445021,35.083838,,
Eastern College of Health Vocations-Little Rock,2272400.0,,,,-92.341891,34.75128,,
Paul Mitchell the School-Little Rock,3124900.0,,,,-92.222202,34.789913,,
University of Arkansas Community College-Batesville,2073500.0,,,13911.0,-91.615852,35.792923,,
Hot Springs Beauty College,3007100.0,,,,-93.037277,34.496057,,
Jefferson Regional Medical Center School of Nursing,2330800.0,,,,-92.018045,34.187831,,
Career Academy of Hair Design,2341700.0,,,,-94.12947,36.167605,,
Academy of Salon and Spa,1074100.0,,,,-94.41616,35.38097,,
Arkansas Northeastern College,1286000.0,,,10173.0,-89.921005,35.898597,,
New Tyler Barber College Inc,2284200.0,,,,-92.254171,34.760085,,
North Arkansas College,1226100.0,,,11751.0,-93.08844,36.219909,,
University of Arkansas Community College-Morrilton,524500.0,1.0,,13510.0,-92.728507,35.172136,,
Phillips Community College of the University of Arkansas,110400.0,,,10475.0,-90.616884,34.546155,,
Professional Cosmetology Education Center,2202400.0,,,,-92.664101,33.216032,,
University of Arkansas-Pulaski Technical College,2075300.0,,,18410.0,-92.299184,34.782783,,
University of Arkansas Hope-Texarkana,573200.0,,,12374.0,-93.596762,33.641665,,
Paul Mitchell the School-Arkansas,792100.0,,,,-94.153892,36.126373,,
Searcy Beauty College,2569600.0,,,,-91.735135,35.239148,,
Southern Arkansas University Main Campus,110700.0,0.6853,1120.0,23044.0,-93.235922,33.291618,,
Southern Arkansas University Tech,773800.0,,,19443.0,-92.721629,33.628367,,
