School,City,State,Conference,Division,StateCode
"University at Albany, SUNY",Albany,New York,America East Conference,D1,NY
Binghamton University,Binghamton,New York,America East Conference,D1,NY
University of New Hampshire,Durham,New Hampshire,America East Conference,D1,NH
"University of Maryland, Baltimore County",Catonsville,Maryland,America East Conference,D1,MD
Florida International University,University Park,Florida,American Athletic Conference,D1,FL
Queens University of Charlotte [Queens],Charlotte,North Carolina,ASUN Conference,D1,NC
Fordham University,"The Bronx, New York City",New York,Atlantic 10 Conference,D1,NY
St. Bonaventure University,Allegany,New York,Atlantic 10 Conference,D1,NY
Saint Louis University,St. Louis,Missouri,Atlantic 10 Conference,D1,MO
North Carolina State University,Raleigh,North Carolina,Atlantic Coast Conference,D1,NC
University of Notre Dame,South Bend,Indiana,Atlantic Coast Conference,D1,IN
University of Pittsburgh,Pittsburgh,Pennsylvania,Atlantic Coast Conference,D1,PA
University of Virginia,Charlottesville,Virginia,Atlantic Coast Conference,D1,VA
University of Akron,Akron,Ohio,Big East Conference,D1,OH
St. John's University,"Queens, New York City",New York,Big East Conference,D1,NY
Villanova University,Radnor Township,Pennsylvania,Big East Conference,D1,PA
University of Michigan,Ann Arbor,Michigan,Big Ten Conference,D1,MI
Ohio State University,Columbus,Ohio,Big Ten Conference,D1,OH
Pennsylvania State University,State College,Pennsylvania,Big Ten Conference,D1,PA
California Polytechnic State University,San Luis Obispo,California,Big West Conference,D1,CA
"California State University, Northridge","Northridge, Los Angeles",California,Big West Conference,D1,CA
"University of California, San Diego","La Jolla, San Diego",California,Big West Conference,D1,CA
College of William & Mary,Williamsburg,Virginia,Colonial Athletic Association,D1,VA
Oakland University,Auburn Hills & Rochester Hills,Michigan,Horizon League,D1,MI
Wright State University,Fairborn,Ohio,Horizon League,D1,OH
University of the Incarnate Word,San Antonio & Alamo Heights,Texas,Independent,D1,TX
Columbia University,New York City,New York,Ivy League,D1,NY
Harvard University,Boston,Massachusetts,Ivy League,D1,MA
Iona University,New Rochelle,New York,Metro Atlantic Athletic Conference,D1,NY
Manhattan College,"The Bronx, New York City",New York,Metro Atlantic Athletic Conference,D1,NY
Niagara University,Lewiston,New York,Metro Atlantic Athletic Conference,D1,NY
Bowling Green State University,Bowling Green,Ohio,Missouri Valley Conference,D1,OH
Missouri State University,Springfield,Missouri,Missouri Valley Conference,D1,MO
Fairleigh Dickinson University,Madison & Florham Park,New Jersey,Northeast Conference,D1,NJ
St. Francis College,"Brooklyn, New York City",New York,Northeast Conference,D1,NY
University of Washington,Seattle,Washington,Pac-12 Conference,D1,WA
United States Military Academy,West Point,New York,Patriot League,D1,NY
Lindenwood University,St. Charles,Missouri,The Summit League,D1,MO
University of Nebraska Omaha,Omaha,Nebraska,The Summit League,D1,NE
University of South Carolina,Columbia,South Carolina,Sun Belt Conference,D1,SC
United States Air Force Academy,Colorado Springs,Colorado,Western Athletic Conference,D1,CO
Houston Christian University,Houston,Texas,Western Athletic Conference,D1,TX
"University of Nevada, Las Vegas",Paradise,Nevada,Western Athletic Conference,D1,NV
Utah Tech University,St. George,Utah,Western Athletic Conference,D1,UT
University of Texas Rio Grande Valley,Edinburg,Texas,Western Athletic Conference,D1,TX
Alliance University,Manhattan,New York,Central Atlantic Collegiate Conference,D2,NY
Barry University,Miami Shores,Florida,Sunshine State Conference,D2,FL
Chaminade University of Honolulu,Honolulu,Hawai'i,Pacific West Conference,D2,
Dominican University New York,Orangeburg,New York,Central Atlantic Collegiate Conference,D2,NY
D'Youville University,Buffalo,New York,East Coast Conference,D2,NY
Eastern New Mexico University,Portales,New Mexico,Lone Star Conference,D2,NM
Eckerd College,St. Petersburg,Florida,Sunshine State Conference,D2,FL
Embry–Riddle Aeronautical University,Daytona Beach,Florida,Sunshine State Conference,D2,FL
Emory and Henry College,Emory,Virginia,South Atlantic Conference,D2,VA
Felician University,Rutherford,New Jersey,Central Atlantic Collegiate Conference,D2,NJ
University of Findlay,Findlay,Ohio,Great Midwest Athletic Conference,D2,OH
Flagler College,St. Augustine,Florida,Peach Belt Conference,D2,FL
Goldey–Beacom College,Pike Creek Valley,Delaware,Central Atlantic Collegiate Conference,D2,DE
Hawai'i Pacific University,Honolulu,Hawai'i,Pacific West Conference,D2,
University of Hawai'i at Hilo,Hilo,Hawai'i,Pacific West Conference,D2,
Lock Haven University of Pennsylvania,Lock Haven,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Maryville University,St. Louis,Missouri,Great Lakes Valley Conference,D2,MO
University of Missouri–St. Louis,St. Louis,Missouri,Great Lakes Valley Conference,D2,MO
Molloy University,Rockville Centre,New York,East Coast Conference,D2,NY
Notre Dame College,South Euclid,Ohio,Mountain East Conference,D2,OH
Nova Southeastern University,Davie,Florida,Sunshine State Conference,D2,FL
Oklahoma Christian University,Oklahoma City,Oklahoma,Lone Star Conference,D2,OK
Pennsylvania Western University California,California,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
University of Pittsburgh at Johnstown,Johnstown,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Queens College,Flushing,New York,East Coast Conference,D2,NY
Roberts Wesleyan College,North Chili,New York,East Coast Conference,D2,NY
Saint Anselm College,Goffstown,New Hampshire,Northeast-10 Conference,D2,NH
St. Cloud State University,St. Cloud,Minnesota,Northern Sun Intercollegiate Conference,D2,MN
Saint Leo University,St. Leo,Florida,Sunshine State Conference,D2,FL
College of Saint Rose,Albany,New York,Northeast-10 Conference,D2,NY
Simon Fraser University,Burnaby,British Columbia,Great Northwest Athletic Conference,D2,
College of Staten Island,Staten Island,New York,East Coast Conference,D2,NY
University of Tampa,Tampa,Florida,Sunshine State Conference,D2,FL
University of Texas Permian Basin,Odessa,Texas,Lone Star Conference,D2,TX
University of Texas at Tyler,Tyler,Texas,Lone Star Conference,D2,TX
Tusculum College,Greeneville,Tennessee,South Atlantic Conference,D2,TN
West Chester University,West Chester,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
University of West Florida,Pensacola,Florida,Gulf South Conference,D2,FL
Alfred State College,Alfred,New York,Allegheny Mountain Collegiate Conference,D3,NY
Baruch College,New York,New York,City University of New York Athletic Conference,D3,NY
Bethel University,Arden Hills,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
Brooklyn College,Brooklyn,New York,City University of New York Athletic Conference,D3,NY
Bryn Athyn College,Bryn Athyn,Pennsylvania,Colonial States Athletic Conference,D3,PA
Buffalo State College,Buffalo,New York,State University of New York Athletic Conference,D3,NY
Cairn University,Langhorne,Pennsylvania,Colonial States Athletic Conference,D3,PA
Capital University,Bexley,Ohio,Ohio Athletic Conference,D3,OH
Catholic University of America,Washington,District of Columbia,Landmark Conference,D3,DC
City College of New York,New York,New York,City University of New York Athletic Conference,D3,NY
"Claremont McKenna College, Harvey Mudd College, and Scripps College",Claremont,California,Southern California Intercollegiate Athletic Conference,D3,CA
Concordia College,Moorhead,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
Crown College,St. Bonifacius,Minnesota,Upper Midwest Athletic Conference,D3,MN
Eastern University,St. Davids,Pennsylvania,MAC Commonwealth,D3,PA
Elms College,Chicopee,Massachusetts,Great Northeast Athletic Conference,D3,MA
"Fairleigh Dickinson University, Florham",Madison/Florham Park,New Jersey,MAC Freedom,D3,NJ
Fontbonne University,St. Louis,Missouri,St. Louis Intercollegiate Athletic Conference,D3,MO
Franklin & Marshall College,Lancaster,Pennsylvania,Centennial Conference,D3,PA
Goucher College,Towson,Maryland,Landmark Conference,D3,MD
Gustavus Adolphus College,St. Peter,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
Gwynedd Mercy University,Lower Gwynedd Township,Pennsylvania,Atlantic East Conference,D3,PA
Hamline University,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
Hampden–Sydney College,Hampden Sydney,Virginia,Old Dominion Athletic Conference,D3,VA
Hobart College,Geneva,New York,Liberty League,D3,NY
Hunter College,New York,New York,City University of New York Athletic Conference,D3,NY
John Jay College of Criminal Justice,New York,New York,City University of New York Athletic Conference,D3,NY
Johnson & Wales University,Providence,Rhode Island,Great Northeast Athletic Conference(Commonwealth Coast Conference in 2024),D3,RI
Kean University,Union Township,New Jersey,New Jersey Athletic Conference,D3,NJ
Keystone College,La Plume Township,Pennsylvania,Colonial States Athletic Conference,D3,PA
Lakeland University,Sheboygan,Wisconsin,Northern Athletics Collegiate Conference,D3,WI
Lasell College,Newton,Massachusetts,Great Northeast Athletic Conference,D3,MA
Lehman College,The Bronx,New York,City University of New York Athletic Conference,D3,NY
Lesley University,Boston,Massachusetts,New England Collegiate Conference(North Atlantic Conference in 2023),D3,MA
Linfield University,McMinnville,Oregon,Northwest Conference,D3,OR
Lynchburg College,Lynchburg,Virginia,Old Dominion Athletic Conference,D3,VA
Macalester College,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
University of Massachusetts Dartmouth,Dartmouth,Massachusetts,Little East Conference,D3,MA
Medgar Evers College,Brooklyn,New York,City University of New York Athletic Conference,D3,NY
Messiah University,Grantham,Pennsylvania,MAC Commonwealth,D3,PA
Moravian College,Bethlehem,Pennsylvania,Landmark Conference,D3,PA
Mount St. Joseph University,Cincinnati,Ohio,Heartland Collegiate Athletic Conference,D3,OH
College of Mount Saint Vincent,The Bronx,New York,Skyline Conference,D3,NY
Nazareth College,Pittsford,New York,Empire 8,D3,NY
State University of New York at Brockport,Brockport,New York,State University of New York Athletic Conference,D3,NY
State University of New York at Canton,Canton,New York,North Atlantic Conference,D3,NY
State University of New York at Cobleskill,Cobleskill,New York,North Atlantic Conference,D3,NY
State University of New York at Cortland,Cortland,New York,State University of New York Athletic Conference,D3,NY
State University of New York at Delhi,Delhi,New York,North Atlantic Conference,D3,NY
