School,City,State,Conference,Division,AdmissionRate,SAT,Cost,Longitude,Latitude
"University at Albany, SUNY",Albany,New York,America East Conference,D1,0.5715,1177,26563,-73.824662,42.685489
Binghamton University,Binghamton,New York,America East Conference,D1,0.4303,1376,28010,-75.966889,42.087868
Bryant University,Smithfield,Rhode Island,America East Conference,D1,0.7579,1211,62855,-71.539547,41.920092
University of New Hampshire,Durham,New Hampshire,America East Conference,D1,0.8481,1194,33940,-70.932465,43.135934
University of Massachusetts Lowell,Lowell,Massachusetts,America East Conference,D1,0.752,1232,29174,-71.326809,42.652864
University of Vermont,Burlington,Vermont,America East Conference,D1,0.7132,1276,34707,-73.196646,44.477325
Fordham University,"The Bronx, New York City",New York,Atlantic 10 Conference,D1,0.5253,1334,71388,-73.882705,40.859354
University of Massachusetts Amherst,Amherst,Massachusetts,Atlantic 10 Conference,D1,0.6532,1307,31749,-72.526728,42.385999
University of Rhode Island,Kingston,Rhode Island,Atlantic 10 Conference,D1,0.7551,1183,30339,-71.527356,41.484691
St. Bonaventure University,Allegany,New York,Atlantic 10 Conference,D1,0.7631,1151,50646,-78.481107,42.080191
Boston College,Chestnut Hill,Massachusetts,Atlantic Coast Conference,D1,0.2638,1433,75872,-71.169242,42.336213
Syracuse University,Syracuse,New York,Atlantic Coast Conference,D1,0.6872,,72780,-76.136975,43.040176
Providence College,Providence,Rhode Island,Big East Conference,D1,0.5386,1301,69407,-71.437446,41.842742
St. John's University,"Queens, New York City",New York,Big East Conference,D1,,,,,
Hofstra University,Hempstead,New York,Colonial Athletic Association,D1,0.6911,,62917,-73.60078,40.715959
Northeastern University,Boston,Massachusetts,Colonial Athletic Association,D1,0.2048,1492,73196,-71.088782,42.339992
Stony Brook University,Stony Brook,New York,Colonial Athletic Association,D1,0.4891,1337,26270,-73.12046,40.91476
Brown University,Providence,Rhode Island,Ivy League,D1,0.0767,1508,77490,-71.40385,41.82617
Columbia University,New York City,New York,Ivy League,D1,,,,,
Cornell University,Ithaca,New York,Ivy League,D1,0.1071,1480,75204,-76.483084,42.4472
Dartmouth College,Hanover,New Hampshire,Ivy League,D1,0.0922,1500,77152,-72.289949,43.704115
Harvard University,Boston,Massachusetts,Ivy League,D1,0.0501,1520,75914,-71.118313,42.374471
Canisius College,Buffalo,New York,Metro Atlantic Athletic Conference,D1,0.7602,1152,39217,-78.852577,42.925206
Iona University,New Rochelle,New York,Metro Atlantic Athletic Conference,D1,,,,,
Manhattan College,"The Bronx, New York City",New York,Metro Atlantic Athletic Conference,D1,0.7765,,57992,-73.901893,40.889756
Marist College,Poughkeepsie,New York,Metro Atlantic Athletic Conference,D1,0.5505,,60670,-73.935484,41.720937
Niagara University,Lewiston,New York,Metro Atlantic Athletic Conference,D1,0.9241,1118,47384,-79.036689,43.137279
Siena College,Loudonville,New York,Metro Atlantic Athletic Conference,D1,0.8066,,58200,-73.7526,42.717602
Long Island University,Brookville,New York,Northeast Conference,D1,0.8501,1194,50591,-73.593678,40.820714
Merrimack College,North Andover,Massachusetts,Northeast Conference,D1,0.8164,,59617,-71.124216,42.668344
St. Francis College,"Brooklyn, New York City",New York,Northeast Conference,D1,0.8452,964,32776,-73.992164,40.693228
Stonehill College,Easton,Massachusetts,Northeast Conference,D1,0.6896,,62253,-71.080632,42.05905
United States Military Academy,West Point,New York,Patriot League,D1,0.0864,1359,,-73.956603,41.390479
Boston University,Boston,Massachusetts,Patriot League,D1,0.2009,1419,74911,-71.107942,42.351118
Colgate University,Hamilton,New York,Patriot League,D1,0.2747,1404,75000,-75.536346,42.819475
College of the Holy Cross,Worcester,Massachusetts,Patriot League,D1,0.3794,1371,71448,-71.808214,42.23752
Adelphi University,Garden City,New York,Northeast-10 Conference,D2,0.7461,1162,53535,-73.653321,40.721439
Alliance University,Manhattan,New York,Central Atlantic Collegiate Conference,D2,,,,,
American International College,Springfield,Massachusetts,Northeast-10 Conference,D2,0.6938,1015,51505,-72.558338,42.112346
Assumption University,Worcester,Massachusetts,Northeast-10 Conference,D2,0.8092,,57238,-71.828991,42.294226
Bentley University,Waltham,Massachusetts,Northeast-10 Conference,D2,0.5782,1281,71094,-71.222839,42.385995
Daemen University,Amherst,New York,East Coast Conference,D2,0.6178,,40900,-78.788111,42.965605
Dominican University New York,Orangeburg,New York,Central Atlantic Collegiate Conference,D2,,,,,
D'Youville University,Buffalo,New York,East Coast Conference,D2,,,,,
Franklin Pierce University,Rindge,New Hampshire,Northeast-10 Conference,D2,0.8468,,56500,-72.058011,42.78014
Le Moyne College,Syracuse,New York,Northeast-10 Conference,D2,0.7474,1165,49194,-76.090435,43.049192
Mercy College,Dobbs Ferry,New York,East Coast Conference,D2,0.8196,1025,29754,-73.874447,41.021626
Molloy University,Rockville Centre,New York,East Coast Conference,D2,,,,,
New York Institute of Technology,Old Westbury,New York,East Coast Conference,D2,0.7468,1190,49465,-73.6078,40.812447
Queens College,Flushing,New York,East Coast Conference,D2,,,,,
Roberts Wesleyan College,North Chili,New York,East Coast Conference,D2,0.7581,1146,45599,-77.798498,43.125755
Saint Anselm College,Goffstown,New Hampshire,Northeast-10 Conference,D2,0.7615,1230,61163,-71.503622,42.986889
Saint Michael's College,Colchester,Vermont,Northeast-10 Conference,D2,0.8781,,61892,-73.167069,44.494558
College of Saint Rose,Albany,New York,Northeast-10 Conference,D2,,,,,
St. Thomas Aquinas College,Sparkill,New York,East Coast Conference,D2,0.8684,1036,47572,-73.936799,41.041576
Southern New Hampshire University,Manchester,New Hampshire,Northeast-10 Conference,D2,0.9354,,50505,-71.451842,43.038922
College of Staten Island,Staten Island,New York,East Coast Conference,D2,,,,,
Alfred University,Alfred,New York,Empire 8,D3,0.6411,1102,50643,-77.788106,42.254476
Alfred State College,Alfred,New York,Allegheny Mountain Collegiate Conference,D3,,,,,
Amherst College,Amherst,Massachusetts,New England Small College Athletic Conference,D3,0.1183,1497,76750,-72.518493,42.372459
Anna Maria College,Paxton,Massachusetts,Great Northeast Athletic Conference,D3,0.8607,,52919,-71.91896,42.330542
Babson College,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference,D3,0.2697,1361,72378,-71.264057,42.297017
Bard College,Annandale-on-Hudson,New York,Liberty League,D3,0.5741,,74464,-73.909927,42.020386
Baruch College,New York,New York,City University of New York Athletic Conference,D3,,,,,
Bates College,Lewiston,Maine,New England Small College Athletic Conference,D3,0.141,,73538,-70.203333,44.105299
Bowdoin College,Brunswick,Maine,New England Small College Athletic Conference,D3,0.0916,,73800,-69.963942,43.907134
Brandeis University,Waltham,Massachusetts,University Athletic Association,D3,0.334,1424,76044,-71.260155,42.365727
Bridgewater State University,Bridgewater,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,0.8231,1049,23845,-70.974553,41.98749
Brooklyn College,Brooklyn,New York,City University of New York Athletic Conference,D3,0.4974,1105,13802,-73.949898,40.631517
Buffalo State College,Buffalo,New York,State University of New York Athletic Conference,D3,0.8007,960,23111,-78.882125,42.933832
Castleton University,Castleton,Vermont,Little East Conference,D3,0.8831,1036,24841,-73.180842,43.608397
Cazenovia College,Cazenovia,New York,North Atlantic Conference,D3,0.7218,1003,51761,-75.854882,42.932489
City College of New York,New York,New York,City University of New York Athletic Conference,D3,0.5054,1164,13667,-73.948542,40.819846
Clark University,Worcester,Massachusetts,New England Women's and Men's Athletic Conference,D3,0.4713,1271,58153,-71.823356,42.249987
Clarkson University,Potsdam,New York,Liberty League,D3,0.7799,1259,69456,-74.999359,44.662716
Colby College,Waterville,Maine,New England Small College Athletic Conference,D3,0.1027,1456,73600,-69.66337,44.564211
Colby–Sawyer College,New London,New Hampshire,Great Northeast Athletic Conference,D3,0.91,,61418,-71.975805,43.411663
