School,City,State,Conference,Division,AdmissionRate,SAT,Cost,Longitude,Latitude
"University at Albany, SUNY",Albany,New York,America East Conference,D1,,,,,
Binghamton University,Binghamton,New York,America East Conference,D1,0.4303,1376.0,28010.0,-75.966889,42.087868
Bryant University,Smithfield,Rhode Island,America East Conference,D1,0.7579,1211.0,62855.0,-71.539547,41.920092
University of New Hampshire,Durham,New Hampshire,America East Conference,D1,,,,,
New Jersey Institute of Technology,Newark,New Jersey,America East Conference,D1,0.6603,1299.0,31511.0,-74.177113,40.741997
University of Massachusetts Lowell,Lowell,Massachusetts,America East Conference,D1,0.752,1232.0,29174.0,-71.326809,42.652864
"University of Maryland, Baltimore County",Baltimore County,Maryland,America East Conference,D1,0.6948,1255.0,25997.0,-76.711607,39.256686
University of Vermont,Burlington,Vermont,America East Conference,D1,0.7132,1276.0,34707.0,-73.196646,44.477325
University of North Carolina at Charlotte,Charlotte,North Carolina,American Athletic Conference,D1,0.7953,1200.0,23478.0,-80.730919,35.306022
Florida Atlantic University,Boca Raton,Florida,American Athletic Conference,D1,0.7478,1147.0,21761.0,-80.102978,26.372421
Florida International University,University Park,Florida,American Athletic Conference,D1,0.5788,1190.0,19384.0,-80.373928,25.75732
University of Memphis,Memphis,Tennessee,American Athletic Conference,D1,0.852,1132.0,24139.0,-89.938068,35.118878
Southern Methodist University,Dallas,Texas,American Athletic Conference,D1,0.5267,1388.0,76346.0,-96.783365,32.843612
University of South Florida,Tampa,Florida,American Athletic Conference,D1,0.4924,1256.0,21134.0,-82.413232,28.061458
Temple University,Philadelphia,Pennsylvania,American Athletic Conference,D1,0.7142,,33226.0,-75.156859,39.980546
University of Tulsa,Tulsa,Oklahoma,American Athletic Conference,D1,0.6922,1255.0,58637.0,-95.945941,36.152324
University of Alabama at Birmingham,Birmingham,Alabama,American Athletic Conference,D1,0.806,1245.0,25542.0,-86.799345,33.505697
University of Central Florida,Orlando,Florida,Sun Belt Conference,D1,0.4517,1261.0,21309.0,-81.200889,28.602159
Bellarmine University,Louisville,Kentucky,ASUN Conference,D1,0.8237,1196.0,56319.0,-85.704997,38.219279
University of Central Arkansas,Conway,Arkansas,ASUN Conference,D1,0.9378,1166.0,23185.0,-92.457672,35.077945
Florida Gulf Coast University,Fort Myers,Florida,ASUN Conference,D1,0.7749,1142.0,18151.0,-81.7726,26.463638
Jacksonville University,Jacksonville,Florida,ASUN Conference,D1,0.7774,1115.0,54991.0,-81.60458,30.353227
Liberty University,Lynchburg,Virginia,Possibly ASUN Conference,D1,0.5013,1172.0,40567.0,-79.18222,37.350232
Lipscomb University,Nashville,Tennessee,ASUN Conference,D1,0.615,1226.0,49074.0,-86.799791,36.106253
University of North Florida,Jacksonville,Florida,ASUN Conference,D1,0.7992,1144.0,19469.0,-81.509144,30.27194
Queens University of Charlotte [Queens],Charlotte,North Carolina,ASUN Conference,D1,0.6843,1150.0,49480.0,-80.833509,35.189051
Stetson University,DeLand,Florida,ASUN Conference,D1,0.8149,,63006.0,-81.300746,29.035475
Davidson College,Davidson,North Carolina,Atlantic 10 Conference,D1,0.2,1402.0,70744.0,-80.843979,35.499767
University of Dayton,Dayton,Ohio,Atlantic 10 Conference,D1,0.8111,1233.0,60900.0,-84.176113,39.739547
